freq,deg_urb,coicop,unit,geo\TIME_PERIOD	1988 	1994 	1999 	2005 	2010 	2015 	2020 
A,DEG1,CP0212,PM,EEA30_2007	: 	: 	: 	: 	8 u	: 	: 
A,DEG1,CP0212,PM,EFTA	: 	: 	: 	: 	8 u	: 	: 
A,DEG1,CP0212,PM,NO	: 	: 	: 	: 	8 	: 	: 
A,DEG1,CP0213,PM,EEA28	: 	: 	: 	: 	7 u	: 	: 
A,DEG1,CP0213,PM,EEA30_2007	: 	: 	: 	: 	7 u	: 	: 
A,DEG1,CP0213,PM,EFTA	: 	: 	: 	: 	7 u	: 	: 
A,DEG1,CP0213,PM,NO	: 	: 	: 	: 	7 	: 	: 
A,DEG1,CP022,PM,AT	: 	: 	17 	18 	16 	15 	12 
A,DEG1,CP022,PM,BE	8 	3 	9 	8 	7 	7 	6 
A,DEG1,CP022,PM,BG	: 	: 	: 	23 	27 	30 	24 
A,DEG1,CP022,PM,CY	: 	: 	: 	14 	9 	11 	11 e
A,DEG1,CP022,PM,CZ	: 	: 	: 	13 	15 	15 	10 
A,DEG1,CP022,PM,DE	: 	11 	: 	: 	8 	7 	6 
A,DEG1,CP022,PM,DK	: 	24 	20 	16 	9 	6 	5 
A,DEG1,CP022,PM,EA	: 	: 	: 	9 u	11 i	: 	: 
A,DEG1,CP022,PM,EA12	: 	: 	: 	9 u	11 i	: 	: 
A,DEG1,CP022,PM,EA13	: 	: 	: 	9 u	11 i	: 	: 
A,DEG1,CP022,PM,EA17	: 	: 	: 	: 	11 i	: 	: 
A,DEG1,CP022,PM,EA18	: 	: 	: 	: 	11 i	: 	: 
A,DEG1,CP022,PM,EE	: 	: 	: 	10 	9 	10 	8 
A,DEG1,CP022,PM,EEA28	: 	: 	: 	10 e	11 i	: 	: 
A,DEG1,CP022,PM,EEA30_2007	: 	: 	: 	: 	11 i	: 	: 
A,DEG1,CP022,PM,EFTA	: 	: 	: 	10 u	8 u	: 	: 
A,DEG1,CP022,PM,EL	21 	: 	: 	26 	21 	23 	18 
A,DEG1,CP022,PM,ES	: 	15 	19 	15 	14 	12 	8 
